Experiment,Sample Name,Retention Time,ID,240nm Area,250nm Area,260nm Area,330nm Area,350nm Area
SUMR2023-07-1108-35-49,5wk_13-7,4.0,PP,1036.0,944.0,521.0,2125.0,1290.0
SUMR2023-07-1108-35-49,5wk_13-7,7.8,PP,602.0,500.0,285.0,1225.0,707.0
SUMR2023-07-1108-35-49,5wk_13-7,11.5,PP,4932.0,4487.0,2419.0,9686.0,5712.0
SUMR2023-07-1108-35-49,5wk_13-7,17.4,C,4194.0,3918.0,4207.0,2622.0,3401.0
SUMR2023-07-1108-35-49,5wk_13-7,18.3,PP,2547.0,2408.0,1520.0,4570.0,2846.0
SUMR2023-07-1108-35-49,5wk_7-9,4.1,PP,1812.0,1643.0,903.0,3606.0,2205.0
SUMR2023-07-1108-35-49,5wk_7-9,4.5,PP,411.0,318.0,174.0,730.0,366.0
SUMR2023-07-1108-35-49,5wk_7-9,7.8,PP,1432.0,1252.0,634.0,2912.0,1706.0
SUMR2023-07-1108-35-49,5wk_7-9,11.5,PP,437.0,409.0,278.0,947.0,604.0
SUMR2023-07-1108-35-49,5wk_7-9,17.4,C,2757.0,3801.0,4121.0,2629.0,3410.0
SUMR2023-07-1108-35-49,5wk_7-9,18.4,C,749.0,850.0,753.0,1047.0,881.0
SUMR2023-07-1108-35-49,5wk_7-9,20.0,C,472.0,687.0,757.0,488.0,644.0
SUMR2023-07-1108-35-49,5wk_243-5,4.1,PP,1414.0,1260.0,688.0,2759.0,1682.0
SUMR2023-07-1108-35-49,5wk_243-5,4.5,PP,319.0,290.0,159.0,663.0,320.0
SUMR2023-07-1108-35-49,5wk_243-5,7.8,PP,1520.0,1282.0,668.0,2826.0,1661.0
SUMR2023-07-1108-35-49,5wk_243-5,11.5,PP,977.0,856.0,448.0,1764.0,1029.0
SUMR2023-07-1108-35-49,5wk_243-5,17.4,C,3784.0,4903.0,5290.0,3366.0,4370.0
SUMR2023-07-1108-35-49,5wk_243-5,18.4,PP,1070.0,893.0,574.0,1652.0,1041.0
SUMR2023-07-1108-35-49,5wk_243-5,23.1,C,1180.0,1363.0,1452.0,896.0,1147.0
SUMR2023-07-1108-35-49,5wk_10-10,4.0,PP,1701.0,1545.0,838.0,3442.0,2088.0
SUMR2023-07-1108-35-49,5wk_10-10,7.8,PP,544.0,477.0,251.0,1043.0,628.0
